pattern,size,algo,ratio,enc_p50,enc_p95,dec_p50,dec_p95,thr_enc,thr_dec,ok_roundtrip,error
random,1048576,lzma,1.000107,687.243,1153.307,6.322,15.190,1.373,138.720,1,
llm_token_ids,1024,bpp,1.002930,29.982,34.872,3.931,5.421,0.033,0.248,1,
llm_token_ids,1024,zlib,0.750977,0.152,0.163,0.035,0.047,6.253,28.194,1,
llm_token_ids,1024,bz2,0.847656,0.963,1.447,0.211,0.293,0.961,4.357,1,
llm_token_ids,1024,lzma,0.816406,16.887,19.139,0.416,0.596,0.062,2.478,1,
llm_token_ids,16384,bpp,1.000244,470.486,620.276,62.878,74.673,0.034,0.253,1,
llm_token_ids,16384,zlib,0.701721,2.768,3.087,0.302,0.505,5.793,50.498,1,
llm_token_ids,16384,bz2,0.672241,7.600,10.138,2.133,2.546,1.920,7.122,1,
llm_token_ids,16384,lzma,0.648193,25.865,45.300,2.427,3.199,0.592,6.733,1,
llm_token_ids,262144,bpp,1.000019,8572.750,9861.635,1241.720,1798.945,0.030,0.203,1,
llm_token_ids,262144,zlib,0.691574,107.618,191.914,4.463,7.115,2.155,45.409,1,
llm_token_ids,262144,bz2,0.629475,72.350,107.251,28.360,62.451,3.415,7.735,1,
llm_token_ids,262144,lzma,0.624512,204.872,315.796,25.907,28.214,1.214,9.876,1,
llm_token_ids,1048576,bpp,1.000005,30294.660,30713.738,4555.086,4995.855,0.035,0.228,1,
llm_token_ids,1048576,zlib,0.690638,382.779,384.342,18.278,19.430,2.737,56.704,1,
llm_token_ids,1048576,bz2,0.626658,320.840,327.187,194.072,200.911,3.261,5.370,1,
llm_token_ids,1048576,lzma,0.618244,1102.220,1117.415,99.336,101.058,0.946,10.525,1,
llm_attn_mask,1024,bpp,1.002930,31.183,33.679,3.920,4.413,0.033,0.255,1,
llm_attn_mask,1024,zlib,0.016602,0.035,0.120,0.012,0.034,19.691,71.977,1,
llm_attn_mask,1024,bz2,0.041992,0.147,0.229,0.074,0.136,6.307,12.572,1,
llm_attn_mask,1024,lzma,0.074219,12.671,23.019,0.175,0.241,0.073,5.049,1,
llm_attn_mask,16384,bpp,1.000244,504.612,507.913,61.757,63.770,0.033,0.264,1,
llm_attn_mask,16384,zlib,0.006104,0.299,0.367,0.093,0.143,52.446,167.966,1,
llm_attn_mask,16384,bz2,0.007385,0.496,0.657,0.168,0.286,31.545,89.068,1,
llm_attn_mask,16384,lzma,0.011719,14.467,20.275,0.279,0.390,1.080,55.707,1,
llm_attn_mask,262144,bpp,1.000019,8063.402,8114.457,1101.533,1121.533,0.033,0.238,1,
llm_attn_mask,262144,zlib,0.004078,5.784,6.584,1.366,1.496,44.844,187.833,1,
llm_attn_mask,262144,bz2,0.003326,6.438,7.114,1.707,2.514,39.992,140.728,1,
llm_attn_mask,262144,lzma,0.004623,39.663,43.150,1.486,1.823,6.543,171.093,1,
llm_attn_mask,1048576,bpp,1.000005,32291.507,32525.434,4554.392,4617.773,0.032,0.230,1,
llm_attn_mask,1048576,zlib,0.003792,24.061,24.721,6.531,7.097,43.558,158.603,1,
llm_attn_mask,1048576,bz2,0.002611,21.866,23.208,7.896,8.398,47.232,132.751,1,
llm_attn_mask,1048576,lzma,0.003922,123.755,127.042,6.228,6.876,8.446,165.753,1,
